customer_id,kmeans_cluster
39634,5.0
43460,8.0
23937,8.0
2431,7.0
10090,4.0
24058,5.0
26709,0.0
47768,9.0
29757,4.0
33207,7.0
42493,4.0
24099,7.0
27655,0.0
28439,9.0
15019,8.0
42461,8.0
13548,1.0
19701,9.0
22276,7.0
24670,0.0
12394,1.0
39945,4.0
21907,7.0
39059,0.0
16880,6.0
28426,2.0
33151,4.0
21623,0.0
37350,6.0
2884,0.0
39427,1.0
9304,9.0
1833,7.0
33425,7.0
2030,9.0
18510,8.0
30234,7.0
16910,1.0
35254,8.0
35404,4.0
40311,0.0
39469,1.0
11796,4.0
19908,9.0
49813,8.0
29867,9.0
22350,8.0
39087,9.0
9042,4.0
19871,7.0
49145,9.0
29418,0.0
35626,6.0
48729,7.0
18125,0.0
26769,0.0
49776,0.0
34352,0.0
14841,8.0
46366,5.0
35051,4.0
43511,4.0
32771,9.0
14762,0.0
16396,4.0
24461,0.0
41634,9.0
39977,7.0
39132,8.0
14871,0.0
48615,1.0
15825,0.0
8186,9.0
46314,8.0
20325,8.0
21570,7.0
4108,7.0
3012,4.0
48725,7.0
36988,9.0
6054,9.0
30382,9.0
16781,4.0
15338,0.0
25509,1.0
10857,9.0
21840,4.0
32685,5.0
36010,1.0
33428,7.0
14887,4.0
20257,1.0
2780,4.0
5728,1.0
11534,9.0
35858,5.0
21694,6.0
41179,0.0
48271,9.0
21585,4.0
23148,5.0
46147,7.0
1117,9.0
22643,8.0
23396,4.0
34592,0.0
21335,0.0
28627,9.0
17642,9.0
23208,0.0
48259,1.0
29207,0.0
34391,9.0
22301,1.0
41984,0.0
28540,4.0
29573,9.0
13506,4.0
34540,0.0
44552,4.0
40461,0.0
6629,0.0
22914,0.0
21878,7.0
39703,8.0
41077,1.0
23538,4.0
10776,4.0
36628,4.0
28688,4.0
30647,4.0
40267,1.0
26317,1.0
40469,0.0
16348,0.0
17727,1.0
10271,0.0
5338,8.0
14456,8.0
17042,9.0
39959,8.0
18565,4.0
26957,4.0
31437,8.0
39168,7.0
